============================================================
蛋白质数据富集 (并发版) - 从RCSB PDB获取名称
============================================================

共 39226 条记录，使用10线程并发请求

  进度: 11100/39226 (API成功: 5645, 失败: 5455)
  进度: 11200/39226 (API成功: 5695, 失败: 5505)
  进度: 11300/39226 (API成功: 5746, 失败: 5554)
  进度: 11400/39226 (API成功: 5796, 失败: 5604)
  进度: 11500/39226 (API成功: 5845, 失败: 5655)
  进度: 11600/39226 (API成功: 5896, 失败: 5704)
  进度: 11700/39226 (API成功: 5945, 失败: 5755)
  进度: 11800/39226 (API成功: 5995, 失败: 5805)
  进度: 11900/39226 (API成功: 6046, 失败: 5854)
  进度: 12000/39226 (API成功: 6096, 失败: 5904)
  进度: 12100/39226 (API成功: 6146, 失败: 5954)
  进度: 12200/39226 (API成功: 6195, 失败: 6005)
  进度: 12300/39226 (API成功: 6245, 失败: 6055)
  进度: 12400/39226 (API成功: 6295, 失败: 6105)
  进度: 12500/39226 (API成功: 6345, 失败: 6155)
  进度: 12600/39226 (API成功: 6395, 失败: 6205)
  进度: 12700/39226 (API成功: 6446, 失败: 6254)
  进度: 12800/39226 (API成功: 6495, 失败: 6305)
  进度: 12900/39226 (API成功: 6545, 失败: 6355)
  进度: 13000/39226 (API成功: 6596, 失败: 6404)
  进度: 13100/39226 (API成功: 6645, 失败: 6455)
  进度: 13200/39226 (API成功: 6695, 失败: 6505)
  进度: 13300/39226 (API成功: 6745, 失败: 6555)
  进度: 13400/39226 (API成功: 6796, 失败: 6604)
  进度: 13500/39226 (API成功: 6845, 失败: 6655)
  进度: 13600/39226 (API成功: 6895, 失败: 6705)
  进度: 13700/39226 (API成功: 6946, 失败: 6754)
  进度: 13800/39226 (API成功: 6996, 失败: 6804)
  进度: 13900/39226 (API成功: 7044, 失败: 6856)
  进度: 14000/39226 (API成功: 7094, 失败: 6906)
  进度: 14100/39226 (API成功: 7144, 失败: 6956)
  进度: 14200/39226 (API成功: 7195, 失败: 7005)
  进度: 14300/39226 (API成功: 7244, 失败: 7056)
  进度: 14400/39226 (API成功: 7290, 失败: 7110)
  进度: 14500/39226 (API成功: 7341, 失败: 7159)
  进度: 14600/39226 (API成功: 7392, 失败: 7208)
  进度: 14700/39226 (API成功: 7441, 失败: 7259)
  进度: 14800/39226 (API成功: 7491, 失败: 7309)
  进度: 14900/39226 (API成功: 7541, 失败: 7359)
  进度: 15000/39226 (API成功: 7591, 失败: 7409)
  进度: 15100/39226 (API成功: 7642, 失败: 7458)
  进度: 15200/39226 (API成功: 7691, 失败: 7509)
  进度: 15300/39226 (API成功: 7741, 失败: 7559)
  进度: 15400/39226 (API成功: 7792, 失败: 7608)
  进度: 15500/39226 (API成功: 7841, 失败: 7659)
  进度: 15600/39226 (API成功: 7891, 失败: 7709)
  进度: 15700/39226 (API成功: 7941, 失败: 7759)
  进度: 15800/39226 (API成功: 7991, 失败: 7809)
  进度: 15900/39226 (API成功: 8042, 失败: 7858)
  进度: 16000/39226 (API成功: 8091, 失败: 7909)
  进度: 16100/39226 (API成功: 8141, 失败: 7959)
  进度: 16200/39226 (API成功: 8191, 失败: 8009)
  进度: 16300/39226 (API成功: 8242, 失败: 8058)
  进度: 16400/39226 (API成功: 8292, 失败: 8108)
  进度: 16500/39226 (API成功: 8342, 失败: 8158)
  进度: 16600/39226 (API成功: 8392, 失败: 8208)
  进度: 16700/39226 (API成功: 8441, 失败: 8259)
  进度: 16800/39226 (API成功: 8491, 失败: 8309)
  进度: 16900/39226 (API成功: 8541, 失败: 8359)
  进度: 17000/39226 (API成功: 8591, 失败: 8409)
  进度: 17100/39226 (API成功: 8641, 失败: 8459)
  进度: 17200/39226 (API成功: 8692, 失败: 8508)
  进度: 17300/39226 (API成功: 8741, 失败: 8559)
  进度: 17400/39226 (API成功: 8791, 失败: 8609)
  进度: 17500/39226 (API成功: 8842, 失败: 8658)
  进度: 17600/39226 (API成功: 8891, 失败: 8709)
  进度: 17700/39226 (API成功: 8941, 失败: 8759)
  进度: 17800/39226 (API成功: 8991, 失败: 8809)
  进度: 17900/39226 (API成功: 9041, 失败: 8859)
  进度: 18000/39226 (API成功: 9091, 失败: 8909)
  进度: 18100/39226 (API成功: 9141, 失败: 8959)
  进度: 18200/39226 (API成功: 9191, 失败: 9009)
  进度: 18300/39226 (API成功: 9241, 失败: 9059)
  进度: 18400/39226 (API成功: 9292, 失败: 9108)
